epoch,loss,test_acc
1,1.7035706837972004,47.76722090261283
2,1.5419088800748189,49.358669833729216
3,1.4084695378939311,51.97149643705463
4,1.2057894666989644,55.0910530482977
5,1.0525429844856262,57.45051464766429
6,0.8875361680984497,59.39034045922407
7,0.7882046103477478,61.17973079968329
8,0.6821856200695038,63.34916864608076
9,0.547710508108139,64.54473475851148
10,0.4312405586242676,65.76405384006334
11,0.3718666483958562,67.2209026128266
12,0.2950280159711838,68.74109263657957
13,0.22661813100179037,69.1132224861441
14,0.18010429913798967,70.0
15,0.15332605689764023,70.80760095011877
16,0.13348997632662454,71.32224861441013
17,0.11292305092016856,71.80522565320665
18,0.09435201684633891,71.56769596199526
19,0.08344703167676926,71.3618368962787
20,0.07184920739382505,71.88440221694378
