class_id,class_name,accuracy
0,speed limit 20,43.33
1,speed limit 30,84.86
2,speed limit 50,87.60
3,speed limit 60,53.11
4,speed limit 70,91.21
5,speed limit 80,80.00
6,end of speed limit 80,87.33
7,speed limit 100,82.67
8,speed limit 120,75.56
9,no passing,89.38
10,no passing for vehicles over 3.5 metric tons,90.61
11,right-of-way at the next intersection,76.43
12,priority road,98.41
13,yield,98.75
14,stop,86.30
15,no vehicles,88.57
16,vehicles over 3.5 metric tons prohibited,76.67
17,no entry,88.33
18,general caution,67.69
19,dangerous curve to the left,33.33
20,dangerous curve to the right,6.67
21,double curve,50.00
22,bumpy road,65.83
23,slippery road,53.33
24,road narrows on the right,64.44
25,road work,84.79
26,traffic signals,89.44
27,pedestrians,48.33
28,children crossing,60.67
29,bicycles crossing,55.56
30,beware of ice or snow,38.67
31,wild animals crossing,71.85
32,end of all speed and passing limits,91.67
33,turn right ahead,67.14
34,turn left ahead,79.17
35,ahead only,83.85
36,go straight or right,41.67
37,go straight or left,26.67
38,keep right,94.06
39,keep left,38.89
40,roundabout mandatory,91.11
41,end of no passing,36.67
42,end of no passing by vehicles over 3.5 metric tons,34.44
