epoch,loss,test_acc
1,3.153446371320912,45.03562945368171
2,2.4996058146158853,52.16152019002375
3,2.0799227378351226,56.951702296120345
4,1.781366798803389,61.90023752969121
5,1.5603511053309451,65.6848772763262
6,1.3904781107136386,67.44259699129057
7,1.255881354391432,69.42201108471892
8,1.1457720980655661,71.3064133016627
9,1.0540691328277405,73.11163895486936
10,0.9773059514500826,74.37054631828978
11,0.9107767061935627,75.15439429928742
12,0.8536785387878509,75.88281868566904
13,0.8034870524486478,76.84085510688836
14,0.7595205860172244,77.50593824228028
15,0.7197324107590911,78.2264449722882
16,0.684656053710041,78.36896278701505
17,0.6531863249749017,78.9944576405384
18,0.6239741744754983,79.3507521773555
19,0.5975884556484451,79.67537608867775
20,0.573786543713485,80.10292953285827
