epoch,loss,test_acc
1,1.0342768331368764,57.759303246239114
2,1.0053752064704895,58.02850356294537
3,0.945058802763621,58.45605700712589
4,0.9062460462252299,59.03404592240697
5,0.8720361689726511,59.62787015043547
6,0.8135462701320648,60.15835312747427
7,0.7375451922416687,60.688836104513065
8,0.6904222269852957,61.298495645288995
9,0.6332583675781885,61.78939034045922
10,0.5890735536813736,62.46239113222486
11,0.5532220701376597,63.34916864608076
12,0.5144138038158417,64.06175771971496
13,0.4710596998532613,64.84560570071258
14,0.44270094732443493,65.48693586698337
15,0.42927568157513935,65.9778305621536
16,0.3880522946516673,66.57957244655582
17,0.36433351536591846,67.20506730007918
18,0.34173671901226044,67.64845605700712
19,0.2900477349758148,68.2264449722882
20,0.2898625234762828,68.6935866983373
