class_id,class_name,accuracy
0,speed limit 20,93.33
1,speed limit 30,75.28
2,speed limit 50,84.67
3,speed limit 60,48.89
4,speed limit 70,95.30
5,speed limit 80,77.62
6,end of speed limit 80,66.00
7,speed limit 100,77.56
8,speed limit 120,78.00
9,no passing,65.21
10,no passing for vehicles over 3.5 metric tons,42.42
11,right-of-way at the next intersection,62.62
12,priority road,87.97
13,yield,92.50
14,stop,87.04
15,no vehicles,57.14
16,vehicles over 3.5 metric tons prohibited,76.67
17,no entry,76.39
18,general caution,40.00
19,dangerous curve to the left,18.33
20,dangerous curve to the right,45.56
21,double curve,45.56
22,bumpy road,35.83
23,slippery road,23.33
24,road narrows on the right,85.56
25,road work,57.08
26,traffic signals,76.67
27,pedestrians,76.67
28,children crossing,64.00
29,bicycles crossing,54.44
30,beware of ice or snow,45.33
31,wild animals crossing,61.11
32,end of all speed and passing limits,36.67
33,turn right ahead,41.43
34,turn left ahead,87.50
35,ahead only,79.23
36,go straight or right,55.83
37,go straight or left,11.67
38,keep right,49.71
39,keep left,36.67
40,roundabout mandatory,52.22
41,end of no passing,23.33
42,end of no passing by vehicles over 3.5 metric tons,46.67
