class_id,class_name,accuracy
0,speed limit 20,80.00
1,speed limit 30,61.94
2,speed limit 50,88.00
3,speed limit 60,15.78
4,speed limit 70,88.03
5,speed limit 80,41.11
6,end of speed limit 80,0.00
7,speed limit 100,74.67
8,speed limit 120,59.56
9,no passing,0.21
10,no passing for vehicles over 3.5 metric tons,1.82
11,right-of-way at the next intersection,0.00
12,priority road,0.72
13,yield,5.28
14,stop,91.11
15,no vehicles,2.38
16,vehicles over 3.5 metric tons prohibited,52.67
17,no entry,38.33
18,general caution,37.44
19,dangerous curve to the left,10.00
20,dangerous curve to the right,72.22
21,double curve,0.00
22,bumpy road,0.00
23,slippery road,0.67
24,road narrows on the right,0.00
25,road work,2.08
26,traffic signals,48.33
27,pedestrians,1.67
28,children crossing,82.67
29,bicycles crossing,51.11
30,beware of ice or snow,27.33
31,wild animals crossing,0.37
32,end of all speed and passing limits,0.00
33,turn right ahead,43.81
34,turn left ahead,0.00
35,ahead only,0.26
36,go straight or right,0.00
37,go straight or left,10.00
38,keep right,0.00
39,keep left,8.89
40,roundabout mandatory,4.44
41,end of no passing,0.00
42,end of no passing by vehicles over 3.5 metric tons,0.00
