epoch,loss,test_acc
1,1.0269027948379517,58.00475059382423
2,0.9507610003153483,58.93111638954869
3,0.8489279548327128,59.857482185273156
4,0.7562878231207529,60.89469517022961
5,0.6740788122018179,61.92399049881235
6,0.5957402537266413,63.222486144101346
7,0.49433750410874683,64.54473475851148
8,0.4242992748816808,65.84323040380048
9,0.371086061000824,66.75376088677751
10,0.3381001651287079,67.77513855898654
11,0.2899884084860484,68.77276326207442
12,0.2572227244575818,69.88915281076801
13,0.21648791432380676,70.41963578780681
14,0.19158096859852472,70.98970704671417
15,0.1721875766913096,71.34600158353128
16,0.15098896871010462,71.85273159144893
17,0.1298481027285258,72.46239113222487
18,0.11600835497180621,72.79493269992082
19,0.0940139318505923,72.96912114014252
20,0.09254909058411916,73.22248614410135
