epoch,loss,test_acc
1,1.4563164313634236,49.88915281076801
2,1.4000495672225952,50.102929532858276
3,1.2845161159833272,50.44338875692795
4,1.2075408299763997,51.4806017418844
5,1.0994754135608673,52.74742676167854
6,1.027782718340556,54.36262866191607
7,0.9160420894622803,55.77988915281077
8,0.8066059052944183,57.759303246239114
9,0.750288744767507,59.45368171021378
10,0.6438572903474172,61.084718923198736
11,0.5761942764123281,62.43863816310372
12,0.5270628233750662,63.9034045922407
13,0.448164701461792,65.01979414093428
14,0.3658427620927493,66.46872525732383
15,0.3286353647708893,67.48218527315915
16,0.27327594657739,67.84639746634996
17,0.25205859293540317,68.74109263657957
18,0.2211917464931806,69.38242280285036
19,0.1839771345257759,70.4750593824228
20,0.1610021268328031,71.15597783056215
