true_class,pred_0,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8,pred_9,pred_10,pred_11,pred_12,pred_13,pred_14,pred_15,pred_16,pred_17,pred_18,pred_19,pred_20,pred_21,pred_22,pred_23,pred_24,pred_25,pred_26,pred_27,pred_28,pred_29,pred_30,pred_31,pred_32,pred_33,pred_34,pred_35,pred_36,pred_37,pred_38,pred_39,pred_40,pred_41,pred_42
0,55,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,14,551,51,16,38,19,0,4,13,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,1
2,0,135,508,74,4,18,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3
3,1,103,92,210,10,10,7,0,0,2,7,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,1,1
4,2,0,0,2,615,2,7,2,6,6,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,0,0,1,1,4,1,3
5,3,141,56,66,8,298,1,1,0,10,7,0,0,0,0,5,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,1,17,1,5
6,0,1,0,4,0,2,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,1,0,0,0,1,0,13,8
7,0,1,5,10,13,45,10,332,15,0,1,0,0,1,1,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,5
8,2,0,4,4,32,22,5,12,300,14,20,0,0,0,0,4,0,2,2,0,0,0,1,0,0,0,2,0,0,1,0,0,2,1,0,0,0,0,0,2,12,6,0
9,4,0,0,0,0,0,1,1,0,305,74,0,0,0,0,32,17,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,14
10,4,1,0,2,0,1,3,5,1,182,274,0,0,0,0,28,47,50,1,0,0,1,4,0,0,0,5,0,0,0,0,9,3,4,2,2,0,0,0,6,3,16,6
11,0,0,0,0,0,0,0,0,0,0,0,75,1,0,0,0,0,0,52,0,2,1,17,19,9,93,5,75,10,14,7,28,3,0,0,1,1,0,0,0,0,7,0
12,0,0,0,0,0,0,9,0,2,0,0,18,352,89,0,7,0,0,1,0,0,0,0,0,12,19,30,4,1,0,2,0,13,0,3,2,1,3,2,3,0,50,67
13,0,0,0,0,0,0,0,0,0,0,0,2,0,645,0,0,0,0,0,0,0,3,0,0,0,0,1,1,0,17,1,0,13,0,0,5,0,0,7,3,9,1,12
14,0,0,23,4,3,2,0,1,3,1,1,0,0,0,226,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
15,0,0,0,0,1,0,0,0,0,88,21,0,0,0,0,79,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,3
16,0,0,0,0,0,0,0,0,0,14,27,0,0,0,0,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,1,0,0,0,0,53,7,0,0,0,1,9,0,251,1,0,0,0,3,0,0,0,15,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,15
18,0,0,0,0,0,0,0,0,0,0,0,10,0,1,0,4,0,0,135,7,9,3,24,1,63,40,10,44,5,3,7,2,1,0,0,8,0,0,3,10,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,25,15,2,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,0
20,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,3,15,11,6,2,11,8,5,3,2,0,0,19,0,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,2,35,0,0,0,0,13,0,0,0,0,23,0,0,3,1,0,0,0,5,0,0,0
22,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,12,0,11,0,73,4,0,4,1,0,0,0,2,2,0,0,1,0,0,0,0,2,0,0,1
23,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,23,1,3,3,32,12,1,2,0,19,1,4,2,45,0,0,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,64,8,0,7,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,12,0,2,0,0,7,1,180,8,177,47,4,1,23,2,0,0,4,0,4,0,1,0,3,1
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,15,0,4,133,2,14,0,2,0,0,0,2,0,0,0,0,0,0,0,1
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,42,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,6,2,4,51,59,21,0,1,0,0,0,0,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,0,19,0,3,5,50,0,3,0,0,0,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,26,2,15,0,5,19,0,1,22,0,7,3,48,1,0,0,0,0,0,0,0,0,0,0,0
31,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,47,9,29,0,0,1,11,5,5,3,2,4,4,142,4,0,0,0,0,0,0,0,0,0,0
32,0,0,0,0,0,0,2,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3,5,3,0,3,0,0,0,13,9
33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,122,18,3,52,0,1,1,11,0,1
34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,77,0,11,0,2,0,20,0,0
35,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,78,2,236,26,4,0,11,16,8,3
36,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,11,46,4,21,0,2,6,3,0
37,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,28,3,9,0,6,8,0,0
38,0,0,0,0,0,0,0,0,0,0,1,5,1,49,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,1,0,8,18,80,9,9,105,92,235,19,20,31
39,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1,15,2,1,47,0,0,0
40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,6,1,0,0,1,0,68,0,1
41,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,1,0,30,6
42,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,2,7,0,0,0,0,1,0,0,0,1,0,3,0,1,3,0,3,0,0,0,1,0,0,1,0,47,16
