epoch,loss,test_acc
1,1.0389376084009807,57.569279493269995
2,1.0332995752493541,57.72763262074426
3,0.9878025352954865,57.980997624703086
4,0.9638288219769796,58.51148060174189
5,0.9373716016610464,58.962787015043546
6,0.8799191613992056,59.683293745051465
7,0.8044212460517883,60.142517814726844
8,0.7619931002457937,60.7680126682502
9,0.7005232473214468,61.28266033254157
10,0.6527902732292811,62.12193190815518
11,0.6171330014864603,62.88202692003167
12,0.5730650325616201,63.745051464766426
13,0.5253891001145045,64.6159936658749
14,0.49268731971581775,65.40775930324624
15,0.47594134012858075,65.90657165479018
16,0.43321848412354785,66.39746634996041
17,0.4079137295484543,66.95170229612035
18,0.3809361557165782,67.57719714964371
19,0.32604145258665085,68.03642121931908
20,0.32219526171684265,68.43230403800474
