epoch,loss,test_acc
1,3.1635325171730737,29.612034837688043
2,2.76309212771329,30.482977038796516
3,2.521655256097967,33.855898653998416
4,2.352549921382557,37.00712589073634
5,2.1998559778386895,38.044338875692794
6,2.0596383051438765,41.821060965954075
7,1.9264907836914062,44.78226444972288
8,1.7891805171966553,45.65320665083135
9,1.6761420098218052,49.98416468725257
10,1.5529017448425293,51.243072050673
11,1.4537892233241687,54.267616785431514
12,1.3746302778070623,54.94061757719715
13,1.294348586689342,56.37371338083927
14,1.2129250981590964,57.957244655581945
15,1.1508750048550693,59.1686460807601
16,1.0904270085421475,59.897070467141724
17,1.0383173660798506,60.75217735550277
18,0.9759683012962341,61.559778305621535
19,0.9478403980081732,60.688836104513065
20,0.8958060416308317,62.49406175771971
