epoch,loss,test_acc
stage2,1,1.7035706837972004,47.76722090261283
stage2,2,1.5419088800748189,49.358669833729216
stage2,3,1.4084695378939311,51.97149643705463
stage2,4,1.2057894666989644,55.0910530482977
stage2,5,1.0525429844856262,57.45051464766429
stage2,6,0.8875361680984497,59.39034045922407
stage2,7,0.7882046103477478,61.17973079968329
stage2,8,0.6821856200695038,63.34916864608076
stage2,9,0.547710508108139,64.54473475851148
stage2,10,0.4312405586242676,65.76405384006334
stage2,11,0.3718666483958562,67.2209026128266
stage2,12,0.2950280159711838,68.74109263657957
stage2,13,0.22661813100179037,69.1132224861441
stage2,14,0.18010429913798967,70.0
stage2,15,0.15332605689764023,70.80760095011877
stage2,16,0.13348997632662454,71.32224861441013
stage2,17,0.11292305092016856,71.80522565320665
stage2,18,0.09435201684633891,71.56769596199526
stage2,19,0.08344703167676926,71.3618368962787
stage2,20,0.07184920739382505,71.88440221694378
stage3,1,0.07398318809767564,72.46239113222487
stage3,2,0.06293927878141403,72.94536817102137
stage3,3,0.05078675411641598,73.40459224069676
stage3,4,0.045036284563442074,72.96912114014252
stage3,5,0.039519047985474266,73.3174980205859
stage3,6,0.037794237956404686,73.64212193190815
stage3,7,0.03777888913949331,73.81631037212985
stage3,8,0.032817935260633625,73.86381631037213
stage3,9,0.0248700565037628,73.58669833729216
stage3,10,0.025770628203948338,73.49960411718132
