epoch,loss,test_acc
1,1.2188320954640706,48.986539984164686
2,1.1927385330200195,49.73871733966746
3,1.1371583541234334,50.21377672209026
4,1.0750240882237752,50.863024544734756
5,1.0332430005073547,51.433095803642125
6,0.9575822949409485,52.05859065716548
7,0.914632260799408,52.79493269992082
8,0.8733966946601868,53.808392715756135
9,0.8207119703292847,54.75059382422803
10,0.7570587396621704,55.399841646872524
11,0.6788059075673422,56.3341250989707
12,0.6412110726038615,57.1021377672209
13,0.5872827967007955,57.96516231195566
14,0.5506081183751425,58.836104513064136
15,0.49512775739034015,59.92874109263658
16,0.45161502559979755,60.79176563737134
17,0.40341221292813617,61.45684877276326
18,0.3604060610135396,62.517814726840854
19,0.3234836359818776,63.27790973871734
20,0.2899002134799957,64.0221694378464
21,0.24817157288392386,64.78226444972289
22,0.22669599453608194,65.51860649247823
23,0.18801982700824738,66.01741884402217
24,0.1714422752459844,66.47664291369755
25,0.15598565836747488,66.72209026128266
26,0.13777433335781097,67.11005542359462
27,0.12335785975058873,67.52969121140143
28,0.11096763859192531,67.74346793349169
29,0.09936176737149556,68.06017418844023
30,0.08932301650444667,68.14726840855107
31,0.08453908562660217,68.40063341250989
32,0.07892740269502004,68.55106888361045
33,0.06918019180496533,68.77276326207442
34,0.06640979275107384,68.756927949327
35,0.06441452726721764,68.89944576405384
36,0.05836574857433637,69.00237529691212
37,0.054219190031290054,69.04988123515439
38,0.05249223858118057,69.08155186064924
39,0.05118578299880028,69.10530482977039
40,0.047281572595238686,69.16072842438638
