class_id,class_name,accuracy
0,speed limit 20,83.33
1,speed limit 30,75.28
2,speed limit 50,81.73
3,speed limit 60,14.89
4,speed limit 70,90.30
5,speed limit 80,56.67
6,end of speed limit 80,21.33
7,speed limit 100,78.44
8,speed limit 120,80.89
9,no passing,1.67
10,no passing for vehicles over 3.5 metric tons,3.79
11,right-of-way at the next intersection,1.43
12,priority road,11.01
13,yield,60.00
14,stop,93.70
15,no vehicles,30.95
16,vehicles over 3.5 metric tons prohibited,61.33
17,no entry,44.44
18,general caution,26.67
19,dangerous curve to the left,0.00
20,dangerous curve to the right,21.11
21,double curve,23.33
22,bumpy road,39.17
23,slippery road,15.33
24,road narrows on the right,35.56
25,road work,54.58
26,traffic signals,66.67
27,pedestrians,50.00
28,children crossing,62.67
29,bicycles crossing,71.11
30,beware of ice or snow,34.00
31,wild animals crossing,64.07
32,end of all speed and passing limits,0.00
33,turn right ahead,60.48
34,turn left ahead,0.83
35,ahead only,7.69
36,go straight or right,0.00
37,go straight or left,18.33
38,keep right,0.14
39,keep left,56.67
40,roundabout mandatory,6.67
41,end of no passing,10.00
42,end of no passing by vehicles over 3.5 metric tons,14.44
