epoch,loss,test_acc
1,3.442933519681295,30.039588281868568
2,3.431366483370463,30.06334125098971
3,3.3684668938318887,30.213776722090262
4,3.2003455559412637,30.253365003958827
5,3.1531671285629272,30.09501187648456
6,3.0672865311304727,30.055423594615995
7,2.9813806215922036,29.920823436262864
8,2.851725459098816,30.110847189231986
9,2.741318424542745,30.498812351543943
10,2.7039887507756553,31.203483768804436
11,2.534448981285095,31.96357878068092
12,2.412731488545736,32.8424386381631
13,2.3605008920033774,33.81631037212985
14,2.230234146118164,34.972288202692006
15,2.139917492866516,36.06492478226445
16,2.0110392769177756,37.09422011084719
17,1.9242956439654033,38.48772763262075
18,1.8596003651618958,39.8812351543943
19,1.7692482471466064,41.13222486144101
20,1.668983280658722,42.57323832145685
