true_class,pred_0,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8,pred_9,pred_10,pred_11,pred_12,pred_13,pred_14,pred_15,pred_16,pred_17,pred_18,pred_19,pred_20,pred_21,pred_22,pred_23,pred_24,pred_25,pred_26,pred_27,pred_28,pred_29,pred_30,pred_31,pred_32,pred_33,pred_34,pred_35,pred_36,pred_37,pred_38,pred_39,pred_40,pred_41,pred_42
0,50,0,0,0,7,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,14,542,46,0,58,10,1,2,42,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,87,613,1,7,19,10,2,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3,1,121,202,67,27,12,3,0,7,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0
4,2,0,0,0,596,0,1,0,46,1,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,3
5,1,82,85,1,32,357,33,1,9,0,2,0,1,0,0,8,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,3,0,0,0,0,0,4,6
6,0,2,31,1,3,41,32,0,0,5,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,24
7,0,1,2,0,1,20,8,353,40,0,3,0,0,0,0,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,11
8,1,0,2,1,26,8,4,12,364,0,1,0,0,0,1,10,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,12
9,0,0,0,0,0,0,0,1,0,8,6,0,3,0,1,329,17,94,0,1,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,5
10,1,1,0,0,12,2,0,8,1,2,25,0,3,0,23,383,75,46,3,1,0,3,0,0,0,0,4,0,0,0,0,2,0,0,0,10,0,0,0,0,0,1,54
11,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,30,3,19,5,2,38,24,55,61,49,42,3,26,14,0,23,0,6,0,7,0,2,5,0,0
12,1,0,0,0,0,0,0,0,0,0,1,21,76,44,0,0,0,2,118,5,16,28,5,5,2,46,68,6,0,0,8,1,0,63,0,18,0,46,74,30,3,0,3
13,0,0,0,0,2,0,0,0,0,0,7,0,0,432,2,11,7,2,6,30,5,27,0,0,0,2,2,7,0,33,18,0,0,28,0,27,1,44,0,12,10,0,5
14,0,0,1,0,5,0,0,1,4,0,0,0,0,0,253,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,19,3,0,0,0,0,65,0,37,0,5,1,15,0,0,0,0,5,0,0,0,2,0,0,0,0,4,1,26,0,0,13,2,12
16,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,46,92,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,1,106,1,0,160,3,2,0,34,0,0,0,0,37,5,0,0,1,0,1,0,0,2,0,2,0,0,0,0,5
18,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,104,16,25,21,35,23,41,18,13,11,3,0,14,6,0,0,0,36,0,5,8,1,0,0,7
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,5,4,0,2,0,2,0,0,0,9,0,0,0,2,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,2,19,0,13,13,5,2,0,0,1,0,4,26,0,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,30,1,21,2,2,0,1,1,1,0,0,0,22,0,1,0,5,0,1,0,0,0,0,0
22,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,3,1,1,47,47,1,0,0,1,0,0,9,0,0,0,0,5,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,23,0,8,0,3,0,2,23,0,8,0,1,0,6,0,72,0,0,0,2,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,6,5,9,1,0,32,4,1,1,0,0,21,0,0,0,0,8,0,0,0,0,0,0,0
25,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,1,6,0,0,3,0,59,2,262,5,34,55,6,6,20,0,0,0,16,0,0,0,1,0,0,0
