run_name,schedule,stage2_end_acc,stage3_best_acc,stage3_gain_pp,note
clc_8shot_r8_a16_20_20_10_seed42,20 CoOp + 20 LoRA + 10 CoOp,74.65,74.79,0.14,Stage 2 well converged; extra CoOp stage adds within-noise gain.
clc_8shot_r8_a16_seed42,10 CoOp + 20 LoRA + 10 CoOp,71.88,73.86,1.98,Stage 2 under-trained (short CoOp warm-up); stage-3 mostly recovers headroom a longer Stage 2 would have reached.
