setting,M1,M2,M3,M4,M5
full,80.1029,82.9533,86.2787,97.2526,96.0491
16-shot,48.2264,67.3713,62.4941,79.4616,79.2637
8-shot,,,,43.0800,67.7751
4-shot,,,,30.6968,55.3998
