variant,stage_1,stage_2,run_name,best_acc
M5 CoOp->LoRA,CoOp warm-up,LoRA fine-tune,m5_8shot_r8_a16_coop10_lora20_seed42,71.8844
M5d LoRA->CoOp,LoRA warm-up,CoOp fine-tune,m5d_8shot_r8_a16_lora20_coop10_seed42,67.4505
