class_id,class_name,accuracy
0,speed limit 20,91.67
1,speed limit 30,76.81
2,speed limit 50,90.67
3,speed limit 60,60.00
4,speed limit 70,91.21
5,speed limit 80,64.76
6,end of speed limit 80,78.00
7,speed limit 100,86.89
8,speed limit 120,80.44
9,no passing,73.96
10,no passing for vehicles over 3.5 metric tons,34.24
11,right-of-way at the next intersection,61.67
12,priority road,86.67
13,yield,93.33
14,stop,92.96
15,no vehicles,50.00
16,vehicles over 3.5 metric tons prohibited,72.00
17,no entry,72.22
18,general caution,61.28
19,dangerous curve to the left,51.67
20,dangerous curve to the right,77.78
21,double curve,50.00
22,bumpy road,70.83
23,slippery road,34.67
24,road narrows on the right,62.22
25,road work,67.50
26,traffic signals,82.22
27,pedestrians,85.00
28,children crossing,80.67
29,bicycles crossing,71.11
30,beware of ice or snow,52.67
31,wild animals crossing,70.74
32,end of all speed and passing limits,58.33
33,turn right ahead,51.90
34,turn left ahead,70.83
35,ahead only,78.21
36,go straight or right,37.50
37,go straight or left,50.00
38,keep right,65.80
39,keep left,43.33
40,roundabout mandatory,52.22
41,end of no passing,40.00
42,end of no passing by vehicles over 3.5 metric tons,41.11
