epoch,loss,test_acc
1,3.4259894688924155,30.071258907363422
2,3.3388692140579224,30.32462391132225
3,3.1622008085250854,30.087094220110846
4,2.890039602915446,29.912905779889154
5,2.731911063194275,30.79968329374505
6,2.5099867582321167,32.69200316706255
7,2.2864482005437217,35.075217735550275
8,2.1019967794418335,37.84639746634996
9,1.9063681761423747,40.427553444180525
10,1.7728455861409504,43.0799683293745
11,1.5606005986531575,45.12272367379256
12,1.452260712782542,47.57719714964371
13,1.3030049403508503,50.665083135391924
14,1.180022696654002,54.2596991290578
15,1.0342441896597545,56.342042755344416
16,0.9190406302611033,58.31353919239905
17,0.7856640021006266,61.5993665874901
18,0.6962691048781077,63.8479809976247
19,0.6152096887429556,64.89311163895486
20,0.5323313623666763,65.99366587490103
