epoch,loss,test_acc
stage3,1,0.04995931529750427,74.64766429136975
stage3,2,0.03951674823959669,74.3151227236738
stage3,3,0.03597228073825439,74.50514647664292
stage3,4,0.032836626594265304,74.66349960411718
stage3,5,0.03260178988178571,74.68725257323833
stage3,6,0.028309605394800503,74.3784639746635
stage3,7,0.026642208298047382,74.33887569279493
stage3,8,0.024924229830503464,74.75059382422803
stage3,9,0.02395911080141862,74.7901821060966
stage3,10,0.016775918658822775,74.66349960411718
