class_id,class_name,accuracy
0,speed limit 20,96.67
1,speed limit 30,74.03
2,speed limit 50,82.40
3,speed limit 60,55.78
4,speed limit 70,94.70
5,speed limit 80,71.27
6,end of speed limit 80,59.33
7,speed limit 100,78.22
8,speed limit 120,77.56
9,no passing,56.46
10,no passing for vehicles over 3.5 metric tons,41.82
11,right-of-way at the next intersection,59.52
12,priority road,88.41
13,yield,90.97
14,stop,86.67
15,no vehicles,42.38
16,vehicles over 3.5 metric tons prohibited,78.67
17,no entry,73.89
18,general caution,41.03
19,dangerous curve to the left,18.33
20,dangerous curve to the right,31.11
21,double curve,37.78
22,bumpy road,13.33
23,slippery road,14.67
24,road narrows on the right,78.89
25,road work,52.08
26,traffic signals,73.33
27,pedestrians,76.67
28,children crossing,52.00
29,bicycles crossing,48.89
30,beware of ice or snow,43.33
31,wild animals crossing,61.85
32,end of all speed and passing limits,21.67
33,turn right ahead,37.14
34,turn left ahead,82.50
35,ahead only,74.10
36,go straight or right,51.67
37,go straight or left,10.00
38,keep right,36.38
39,keep left,35.56
40,roundabout mandatory,58.89
41,end of no passing,26.67
42,end of no passing by vehicles over 3.5 metric tons,43.33
