class_id,class_name,accuracy
0,speed limit 20,83.33
1,speed limit 30,92.08
2,speed limit 50,94.53
3,speed limit 60,69.56
4,speed limit 70,93.94
5,speed limit 80,80.79
6,end of speed limit 80,93.33
7,speed limit 100,86.00
8,speed limit 120,83.78
9,no passing,98.75
10,no passing for vehicles over 3.5 metric tons,93.03
11,right-of-way at the next intersection,80.48
12,priority road,95.94
13,yield,98.47
14,stop,92.59
15,no vehicles,95.24
16,vehicles over 3.5 metric tons prohibited,92.67
17,no entry,91.94
18,general caution,67.69
19,dangerous curve to the left,58.33
20,dangerous curve to the right,53.33
21,double curve,87.78
22,bumpy road,69.17
23,slippery road,78.67
24,road narrows on the right,81.11
25,road work,80.62
26,traffic signals,91.11
27,pedestrians,90.00
28,children crossing,89.33
29,bicycles crossing,63.33
30,beware of ice or snow,58.67
31,wild animals crossing,78.89
32,end of all speed and passing limits,96.67
33,turn right ahead,80.48
34,turn left ahead,83.33
35,ahead only,83.59
36,go straight or right,61.67
37,go straight or left,61.67
38,keep right,90.58
39,keep left,62.22
40,roundabout mandatory,90.00
41,end of no passing,75.00
42,end of no passing by vehicles over 3.5 metric tons,48.89
